Q_Value,State,Action
-24.394233391785225,"medium, 6, 0",ask_easy
-24.66747886508106,"easy, 5, 0",ask_medium
-24.671564542211318,"easy, 5, 2",end_game
-24.930433174460333,"easy, 5, 0",ask_hard
-25.331693069045052,"easy, 6, 1",ask_easy
-25.371827232648613,"medium, 5, 2",ask_medium
-25.374037405585767,"medium, 5, 2",end_game
-25.41832939161192,"medium, 6, 0",ask_hard
-25.422066431501307,"medium, 5, 0",ask_medium
-25.89355869025154,"easy, 5, 2",ask_hard
-26.068491612105227,"easy, 5, 2",ask_medium
-26.2244505330931,"medium, 5, 2",ask_hard
-26.35102095079428,"medium, 6, 1",ask_hard
-26.562416196855267,"medium, 4, 2",ask_easy
-26.632473086895736,"easy, 5, 0",end_game
-26.636798298440183,"easy, 6, 1",end_game
-26.651248075903496,"easy, 5, 2",ask_easy
-26.738142737130662,"medium, 6, 1",ask_medium
-26.75117378854667,"medium, 5, 2",ask_easy
-26.81264322768409,"easy, 6, 0",ask_medium
-27.105633801466254,"medium, 6, 0",end_game
-27.131630257190945,"hard, 6, 1",ask_medium
-27.155096028698807,"easy, 4, 2",end_game
-27.302102725103527,"easy, 6, 1",ask_medium
-27.40696419303012,"hard, 6, 1",ask_hard
-28.534354432119645,"medium, 5, 1",end_game
-28.80051146886678,"easy, 6, 0",end_game
-29.018942174548233,"easy, 5, 1",ask_easy
-29.100063916986194,"easy, 5, 1",end_game
-29.571760470223722,"medium, 5, 1",ask_easy
