Q_Value,State,Action
-20.559828937422377,"easy, 3, 2",ask_hard
-20.57916524817899,"easy, 4, 1",ask_easy
-20.685018082424616,"easy, 4, 2",end_game
-20.709307226661988,"easy, 4, 1",end_game
-20.766544900920536,"easy, 3, 2",end_game
-21.389529184067925,"medium, 4, 1",ask_easy
-22.17703405730866,"medium, 6, 0",end_game
-22.420669062116787,"medium, 6, 0",ask_medium
-22.803110885768533,"medium, 6, 0",ask_easy
-23.964065283545395,"medium, 6, 0",ask_hard
-24.211286788399743,"medium, 4, 2",ask_easy
-24.906483263471088,"hard, 6, 2",ask_medium
-25.28793348668245,"medium, 4, 2",end_game
-25.64162796570376,"medium, 5, 2",ask_hard
-26.748304272299087,"medium, 5, 2",ask_medium
-27.06277538018183,"medium, 5, 2",ask_easy
-27.229314815313774,"hard, 6, 2",ask_hard
-28.16882790324539,"hard, 6, 2",ask_easy
-28.79745593685371,"medium, 5, 2",end_game
-30.558896286745757,"medium, 5, 1",ask_easy
-31.001049755556853,"medium, 5, 1",end_game
-32.00937548141606,"medium, 6, 2",ask_hard
-32.129279381985526,"medium, 6, 2",ask_easy
-32.930933790822834,"medium, 6, 2",end_game
-33.864223134294555,"medium, 6, 2",ask_medium
-34.01658737191496,"medium, 6, 1",ask_hard
-34.88483625777978,"medium, 6, 1",ask_medium
-35.49841833235679,"medium, 6, 1",ask_easy
-36.19485468541435,"medium, 6, 1",end_game
